,提出日時,問題,ユーザー,言語,得点,コード長,結果,実行時間,メモリ
ABC272,2023-05-13 23:52:35,A - Integer Sum,lattekawaii,C++ (GCC 9.2.1),100,426 Byte,AC,6 ms,3580 KB
ABC275,2023-04-21 12:00:04,A - Find Takahashi,lattekawaii,C++ (GCC 9.2.1),100,468 Byte,AC,7 ms,3612 KB
ABC275,2023-03-31 23:33:51,A - Find Takahashi,lattekawaii,C++ (GCC 9.2.1),100,384 Byte,AC,6 ms,3608 KB
ABC275,2023-03-31 23:32:31,A - Find Takahashi,lattekawaii,C++ (GCC 9.2.1),0,384 Byte,WA,8 ms,3612 KB
ABC276,2023-03-09 23:24:52,A - Rightmost,lattekawaii,C++ (GCC 9.2.1),100,269 Byte,AC,5 ms,3576 KB
ABC277,2023-05-10 22:02:33,A - ^{-1},lattekawaii,C++ (GCC 9.2.1),100,463 Byte,AC,7 ms,3632 KB
ABC278,2023-04-03 23:37:07,A - Shift,lattekawaii,C++ (GCC 9.2.1),100,425 Byte,AC,14 ms,3584 KB
ABC279,2023-03-07 22:43:00,A - wwwvvvvvv,lattekawaii,C++ (GCC 9.2.1),100,305 Byte,AC,10 ms,3624 KB
ABC280,2023-03-03 21:44:29,A - Pawn on a Grid,lattekawaii,C++ (GCC 9.2.1),100,359 Byte,AC,7 ms,3588 KB
ABC280,2023-03-01 22:23:43,C - Extra Character,lattekawaii,C++ (GCC 9.2.1),300,306 Byte,AC,34 ms,5316 KB
ABC281,2023-04-02 23:08:58,B - Sandwich Number,lattekawaii,C++ (GCC 9.2.1),200,826 Byte,AC,8 ms,3596 KB
ABC281,2023-02-25 22:46:36,A - Count Down,lattekawaii,C++ (GCC 9.2.1),100,173 Byte,AC,5 ms,3436 KB
ABC282,2023-05-15 21:37:57,B - Let's Get a Perfect Score,lattekawaii,C++ (GCC 9.2.1),0,1198 Byte,WA,7 ms,3596 KB
ABC282,2023-03-02 21:16:10,C - String Delimiter,lattekawaii,C++ (GCC 9.2.1),300,472 Byte,AC,12 ms,3688 KB
ABC282,2023-02-20 14:22:05,A - Generalized ABC,lattekawaii,C++ (GCC 9.2.1),100,317 Byte,AC,8 ms,3628 KB
ABC283,2023-02-17 23:17:43,C - Cash Register,lattekawaii,C++ (GCC 9.2.1),300,458 Byte,AC,8 ms,3732 KB
ABC283,2023-02-17 23:16:37,C - Cash Register,lattekawaii,C++ (GCC 9.2.1),0,441 Byte,RE,111 ms,3728 KB
ABC283,2023-02-17 23:13:42,C - Cash Register,lattekawaii,C++ (GCC 9.2.1),0,433 Byte,RE,109 ms,3796 KB
ABC283,2022-12-24 21:50:26,B - First Query Problem,lattekawaii,C (GCC 9.2.1),200,702 Byte,AC,47 ms,2488 KB
ABC283,2022-12-24 21:05:54,A - Power,lattekawaii,C (GCC 9.2.1),100,204 Byte,AC,3 ms,1684 KB
ABC284,2023-04-25 13:31:28,A - Sequence of Strings,lattekawaii,C++ (GCC 9.2.1),100,445 Byte,AC,8 ms,3580 KB
ABC284,2023-02-17 23:07:24,B - Multi Test Cases,lattekawaii,C++ (GCC 9.2.1),200,427 Byte,AC,10 ms,3536 KB
ABC284,2023-02-14 22:15:02,A - Sequence of Strings,lattekawaii,C++ (GCC 9.2.1),100,295 Byte,AC,6 ms,3572 KB
ABC285,2023-04-06 22:54:12,B - Longest Uncommon Prefix,lattekawaii,C++ (GCC 9.2.1),200,590 Byte,AC,52 ms,3552 KB
ABC285,2023-02-08 09:48:20,A - Edge Checker 2,lattekawaii,C++ (GCC 9.2.1),100,278 Byte,AC,11 ms,3460 KB
ABC285,2023-01-15 21:28:07,A - Edge Checker 2,lattekawaii,C (GCC 9.2.1),0,1349 Byte,WA,6 ms,1652 KB
ABC285,2023-01-15 21:23:20,A - Edge Checker 2,lattekawaii,C (GCC 9.2.1),0,1382 Byte,WA,5 ms,1636 KB
ABC285,2023-01-15 21:21:06,A - Edge Checker 2,lattekawaii,C (GCC 9.2.1),0,1344 Byte,WA,5 ms,1600 KB
ABC285,2023-01-15 21:17:16,A - Edge Checker 2,lattekawaii,C (GCC 9.2.1),0,1336 Byte,WA,4 ms,1612 KB
ABC285,2023-01-15 21:13:01,A - Edge Checker 2,lattekawaii,C (GCC 9.2.1),0,884 Byte,WA,5 ms,1664 KB
ABC286,2023-05-05 22:15:37,D - Money in Hand,lattekawaii,C++ (GCC 9.2.1),0,926 Byte,WA,6 ms,3616 KB
ABC286,2023-02-27 23:21:41,B - Cat,lattekawaii,C++ (GCC 9.2.1),200,490 Byte,AC,6 ms,3608 KB
ABC286,2023-02-08 18:54:44,A - Range Swap,lattekawaii,C++ (GCC 9.2.1),100,927 Byte,AC,8 ms,3584 KB
ABC286,2023-02-08 18:53:43,A - Range Swap,lattekawaii,C++ (GCC 9.2.1),0,1015 Byte,WA,8 ms,3564 KB
ABC286,2023-02-08 18:52:49,A - Range Swap,lattekawaii,C++ (GCC 9.2.1),0,669 Byte,WA,8 ms,3616 KB
ABC286,2023-02-08 18:46:39,A - Range Swap,lattekawaii,C++ (GCC 9.2.1),0,930 Byte,WA,6 ms,3464 KB
ABC286,2023-02-08 10:32:02,A - Range Swap,lattekawaii,C++ (GCC 9.2.1),0,483 Byte,WA,6 ms,3636 KB
ABC287,2023-05-05 16:34:42,C - Path Graph?,lattekawaii,C++ (GCC 9.2.1),300,1311 Byte,AC,149 ms,23728 KB
ABC287,2023-05-05 16:23:31,C - Path Graph?,lattekawaii,C++ (GCC 9.2.1),300,1184 Byte,WA,171 ms,23736 KB
ABC287,2023-02-22 16:21:40,B - Postal Card,lattekawaii,C++ (GCC 9.2.1),200,1279 Byte,AC,8 ms,3684 KB
ABC287,2023-02-22 16:08:50,B - Postal Card,lattekawaii,C++ (GCC 9.2.1),0,682 Byte,WA,16 ms,3628 KB
ABC287,2023-02-07 22:03:18,A - Majority,lattekawaii,C++ (GCC 9.2.1),100,471 Byte,AC,6 ms,3580 KB
ABC288,2023-03-31 23:38:54,B - Qualification Contest,lattekawaii,C++ (GCC 9.2.1),200,378 Byte,AC,9 ms,3504 KB
ABC288,2023-02-04 21:09:54,A - Many A+B Problems,lattekawaii,C++ (GCC 9.2.1),100,338 Byte,AC,11 ms,3552 KB
ABC288,2023-02-04 21:08:04,A - Many A+B Problems,lattekawaii,C++ (GCC 9.2.1),0,332 Byte,WA,9 ms,3564 KB
ABC289,2023-02-27 00:13:00,C - Coverage,lattekawaii,C++ (GCC 9.2.1),300,1314 Byte,AC,6 ms,3580 KB
ABC289,2023-02-11 21:06:41,A - flip,lattekawaii,C++ (GCC 9.2.1),100,358 Byte,AC,3 ms,3548 KB
ABC290,2023-02-20 14:10:39,C - Max MEX,lattekawaii,C++ (GCC 9.2.1),300,391 Byte,AC,222 ms,17684 KB
ABC290,2023-02-20 00:19:38,B - Qual B,lattekawaii,C++ (GCC 9.2.1),200,458 Byte,AC,5 ms,3596 KB
ABC290,2023-02-20 00:19:10,A - Contest Result,lattekawaii,C++ (GCC 9.2.1),0,458 Byte,RE,295 ms,3592 KB
ABC290,2023-02-20 00:18:53,B - Qual B,lattekawaii,C++ (GCC 9.2.1),200,472 Byte,AC,7 ms,3608 KB
ABC290,2023-02-19 22:39:26,C - Max MEX,lattekawaii,C++ (GCC 9.2.1),0,2411 Byte,WA,106 ms,4740 KB
ABC290,2023-02-19 22:18:02,C - Max MEX,lattekawaii,C++ (GCC 9.2.1),0,1806 Byte,WA,111 ms,4704 KB
ABC290,2023-02-19 22:12:21,C - Max MEX,lattekawaii,C++ (GCC 9.2.1),0,1904 Byte,WA,111 ms,4772 KB
ABC290,2023-02-19 21:53:02,C - Max MEX,lattekawaii,C++ (GCC 9.2.1),0,1465 Byte,WA,107 ms,4748 KB
ABC290,2023-02-19 21:52:15,C - Max MEX,lattekawaii,C++ (GCC 9.2.1),0,1463 Byte,WA,108 ms,4792 KB
ABC290,2023-02-19 21:36:49,C - Max MEX,lattekawaii,C++ (GCC 9.2.1),0,1174 Byte,WA,106 ms,4644 KB
ABC290,2023-02-19 21:17:22,B - Qual B,lattekawaii,C++ (GCC 9.2.1),200,472 Byte,AC,6 ms,3592 KB
ABC290,2023-02-19 21:04:25,A - Contest Result,lattekawaii,C++ (GCC 9.2.1),100,395 Byte,AC,6 ms,3584 KB
ABC291,2023-05-30 22:01:14,C - LRUD Instructions 2,lattekawaii,C++ (GCC 9.2.1),300,801 Byte,AC,77 ms,12956 KB
ABC291,2023-02-26 21:13:38,B - Trimmed Mean,lattekawaii,C++ (GCC 9.2.1),200,402 Byte,AC,4 ms,3792 KB
ABC291,2023-02-26 21:06:02,A - camel Case,lattekawaii,C++ (GCC 9.2.1),100,441 Byte,AC,6 ms,3588 KB
ABC292,2023-04-30 20:39:28,C - Four Variables,lattekawaii,C++ (GCC 9.2.1),300,753 Byte,AC,997 ms,7808 KB
ABC292,2023-03-04 21:39:51,B - Yellow and Red Card,lattekawaii,C++ (GCC 9.2.1),200,671 Byte,AC,8 ms,3572 KB
ABC292,2023-03-04 21:20:33,A - CAPS LOCK,lattekawaii,C++ (GCC 9.2.1),100,202 Byte,AC,4 ms,3592 KB
ABC292,2023-03-04 21:12:28,B - Yellow and Red Card,lattekawaii,C++ (GCC 9.2.1),0,655 Byte,WA,15 ms,3556 KB
ABC293,2023-04-30 10:25:56,A - Swap Odd and Even,lattekawaii,C++ (GCC 9.2.1),100,478 Byte,AC,8 ms,3628 KB
ABC293,2023-03-11 22:39:20,C - Make Takahashi Happy,lattekawaii,C++ (GCC 9.2.1),0,1457 Byte,WA,8 ms,3632 KB
ABC293,2023-03-11 22:37:17,C - Make Takahashi Happy,lattekawaii,C++ (GCC 9.2.1),0,1451 Byte,WA,5 ms,3564 KB
ABC293,2023-03-11 22:36:25,C - Make Takahashi Happy,lattekawaii,C++ (GCC 9.2.1),0,1451 Byte,WA,7 ms,3572 KB
ABC293,2023-03-11 22:34:44,C - Make Takahashi Happy,lattekawaii,C++ (GCC 9.2.1),0,1451 Byte,WA,5 ms,3616 KB
ABC293,2023-03-11 22:31:19,C - Make Takahashi Happy,lattekawaii,C++ (GCC 9.2.1),0,1209 Byte,WA,5 ms,3616 KB
ABC293,2023-03-11 21:25:27,B - Call the ID Number,lattekawaii,C++ (GCC 9.2.1),200,774 Byte,AC,140 ms,13704 KB
ABC293,2023-03-11 21:02:59,A - Swap Odd and Even,lattekawaii,C++ (GCC 9.2.1),100,299 Byte,AC,10 ms,3580 KB
ABC294,2023-03-19 21:36:04,D - Bank,lattekawaii,C++ (GCC 9.2.1),400,602 Byte,AC,725 ms,26944 KB
ABC294,2023-03-19 21:26:29,C - Merge Sequences,lattekawaii,C++ (GCC 9.2.1),300,944 Byte,AC,101 ms,6648 KB
ABC294,2023-03-19 21:14:59,B - ASCII Art,lattekawaii,C++ (GCC 9.2.1),200,1758 Byte,AC,8 ms,3620 KB
ABC294,2023-03-19 21:02:38,A - Filter,lattekawaii,C++ (GCC 9.2.1),100,397 Byte,AC,6 ms,3596 KB
ABC295,2023-04-01 20:35:15,A - Probably English,lattekawaii,C++ (GCC 9.2.1),100,490 Byte,AC,8 ms,3624 KB
ABC295,2023-03-25 21:28:23,C - Socks,lattekawaii,C++ (GCC 9.2.1),300,502 Byte,AC,462 ms,28972 KB
ABC295,2023-03-25 21:20:44,B - Bombs,lattekawaii,C++ (GCC 9.2.1),200,957 Byte,AC,2 ms,3604 KB
ABC295,2023-03-25 21:16:17,B - Bombs,lattekawaii,C++ (GCC 9.2.1),0,855 Byte,WA,8 ms,3600 KB
ABC295,2023-03-25 21:02:22,A - Probably English,lattekawaii,C++ (GCC 9.2.1),100,490 Byte,AC,6 ms,3576 KB
ABC296,2023-04-30 20:18:35,D - M<=ab,lattekawaii,C++ (GCC 9.2.1),400,934 Byte,AC,19 ms,3636 KB
ABC296,2023-04-01 22:40:14,D - M<=ab,lattekawaii,C++ (GCC 9.2.1),0,1124 Byte,WA,10 ms,3576 KB
ABC296,2023-04-01 22:16:14,D - M<=ab,lattekawaii,C++ (GCC 9.2.1),0,1227 Byte,TLE,2205 ms,3608 KB
ABC296,2023-04-01 22:09:09,D - M<=ab,lattekawaii,C++ (GCC 9.2.1),0,1215 Byte,RE,2205 ms,3712 KB
ABC296,2023-04-01 21:59:50,D - M<=ab,lattekawaii,C++ (GCC 9.2.1),0,1111 Byte,RE,2205 ms,3728 KB
ABC296,2023-04-01 21:50:45,D - M<=ab,lattekawaii,C++ (GCC 9.2.1),0,1501 Byte,WA,2205 ms,3556 KB
ABC296,2023-04-01 21:42:58,D - M<=ab,lattekawaii,C++ (GCC 9.2.1),0,1022 Byte,WA,10 ms,3640 KB
ABC296,2023-04-01 21:25:18,C - Gap Existence,lattekawaii,C++ (GCC 9.2.1),300,588 Byte,AC,101 ms,5160 KB
ABC296,2023-04-01 21:08:38,B - Chessboard,lattekawaii,C++ (GCC 9.2.1),200,1149 Byte,AC,9 ms,3620 KB
ABC296,2023-04-01 21:02:50,A - Alternately,lattekawaii,C++ (GCC 9.2.1),100,418 Byte,AC,7 ms,3540 KB
ABC297,2023-04-09 21:39:13,D - Count Subtractions,lattekawaii,C++ (GCC 9.2.1),400,771 Byte,AC,8 ms,3568 KB
ABC297,2023-04-09 21:21:13,C - PC on the Table,lattekawaii,C++ (GCC 9.2.1),300,620 Byte,AC,14 ms,3608 KB
ABC297,2023-04-09 21:15:34,B - chess960,lattekawaii,C++ (GCC 9.2.1),200,1056 Byte,AC,5 ms,3624 KB
ABC297,2023-04-09 21:03:52,A - Double Click,lattekawaii,C++ (GCC 9.2.1),100,478 Byte,AC,7 ms,3632 KB
ABC297,2023-04-09 21:03:18,A - Double Click,lattekawaii,C++ (GCC 9.2.1),0,463 Byte,WA,6 ms,3608 KB
ABC298,2023-04-16 00:35:17,B - Coloring Matrix,lattekawaii,C++ (GCC 9.2.1),200,1676 Byte,AC,11 ms,3748 KB
ABC298,2023-04-16 00:24:29,B - Coloring Matrix,lattekawaii,C++ (GCC 9.2.1),200,814 Byte,AC,12 ms,3780 KB
ABC298,2023-04-15 22:03:12,D - Writing a Numeral,lattekawaii,C++ (GCC 9.2.1),0,727 Byte,RE,921 ms,4196 KB
ABC298,2023-04-15 22:00:01,D - Writing a Numeral,lattekawaii,C++ (GCC 9.2.1),0,622 Byte,RE,889 ms,4176 KB
ABC298,2023-04-15 21:47:39,C - Cards Query Problem,lattekawaii,C++ (GCC 9.2.1),300,1080 Byte,AC,231 ms,19524 KB
ABC298,2023-04-15 21:41:20,C - Cards Query Problem,lattekawaii,C++ (GCC 9.2.1),0,1030 Byte,TLE,2206 ms,8952 KB
ABC298,2023-04-15 21:40:15,C - Cards Query Problem,lattekawaii,C++ (GCC 9.2.1),0,1030 Byte,TLE,2206 ms,8996 KB
ABC298,2023-04-15 21:02:40,A - Job Interview,lattekawaii,C++ (GCC 9.2.1),100,609 Byte,AC,7 ms,3556 KB
ABC299,2023-04-26 13:50:14,D - Find by Query,lattekawaii,C++ (GCC 9.2.1),400,562 Byte,AC,15 ms,4132 KB
ABC299,2023-04-22 21:32:13,C - Dango,lattekawaii,C++ (GCC 9.2.1),300,831 Byte,AC,15 ms,9684 KB
ABC299,2023-04-22 21:31:18,C - Dango,lattekawaii,C++ (GCC 9.2.1),0,821 Byte,WA,16 ms,9720 KB
ABC299,2023-04-22 21:26:53,C - Dango,lattekawaii,C++ (GCC 9.2.1),0,812 Byte,WA,20 ms,9568 KB
ABC299,2023-04-22 21:16:18,B - Trick Taking,lattekawaii,C++ (GCC 9.2.1),200,824 Byte,AC,119 ms,9592 KB
ABC299,2023-04-22 21:03:29,A - Treasure Chest,lattekawaii,C++ (GCC 9.2.1),100,561 Byte,AC,5 ms,3636 KB
ABC300,2023-05-02 00:03:24,D - AABCC,lattekawaii,C++ (GCC 9.2.1),400,2413 Byte,AC,830 ms,27288 KB
ABC300,2023-05-02 00:00:21,D - AABCC,lattekawaii,C++ (GCC 9.2.1),0,2416 Byte,WA,827 ms,27324 KB
ABC300,2023-05-01 23:58:22,D - AABCC,lattekawaii,C++ (GCC 9.2.1),0,2419 Byte,WA,653 ms,27116 KB
ABC300,2023-04-29 22:39:47,D - AABCC,lattekawaii,C++ (GCC 9.2.1),0,1820 Byte,TLE,3309 ms,27484 KB
ABC300,2023-04-29 22:32:10,C - Cross,lattekawaii,C++ (GCC 9.2.1),300,2238 Byte,AC,7 ms,3640 KB
ABC300,2023-04-29 21:39:32,B - Same Map in the RPG World,lattekawaii,C++ (GCC 9.2.1),200,2645 Byte,AC,5 ms,3656 KB
ABC300,2023-04-29 21:01:42,A - N-choice question,lattekawaii,C++ (GCC 9.2.1),100,513 Byte,AC,8 ms,3560 KB
ABC301,2023-05-14 00:16:42,D - Bitmask,lattekawaii,C++ (GCC 9.2.1),400,1363 Byte,AC,7 ms,4248 KB
ABC301,2023-05-14 00:14:34,D - Bitmask,lattekawaii,C++ (GCC 9.2.1),0,1411 Byte,WA,6 ms,4180 KB
ABC301,2023-05-13 22:45:14,D - Bitmask,lattekawaii,C++ (GCC 9.2.1),0,3739 Byte,WA,2205 ms,4204 KB
ABC301,2023-05-13 22:42:44,D - Bitmask,lattekawaii,C++ (GCC 9.2.1),0,3511 Byte,RE,2205 ms,4208 KB
ABC301,2023-05-13 22:39:54,D - Bitmask,lattekawaii,C++ (GCC 9.2.1),0,3044 Byte,RE,2205 ms,4204 KB
ABC301,2023-05-13 22:38:41,D - Bitmask,lattekawaii,C++ (GCC 9.2.1),0,3042 Byte,RE,2205 ms,4268 KB
ABC301,2023-05-13 21:45:01,C - AtCoder Cards,lattekawaii,C++ (GCC 9.2.1),300,2474 Byte,AC,29 ms,3868 KB
ABC301,2023-05-13 21:10:31,B - Fill the Gaps,lattekawaii,C++ (GCC 9.2.1),200,875 Byte,AC,7 ms,3572 KB
ABC301,2023-05-13 21:03:57,A - Overall Winner,lattekawaii,C++ (GCC 9.2.1),100,836 Byte,AC,7 ms,3580 KB
ABC302,2023-05-23 23:40:30,C - Almost Equal,lattekawaii,C++ (GCC 9.2.1),250,854 Byte,AC,14 ms,3580 KB
ABC302,2023-05-21 00:13:04,B - Find snuke,lattekawaii,C++ (GCC 9.2.1),250,1231 Byte,AC,7 ms,3620 KB
ABC302,2023-05-20 23:37:06,B - Find snuke,lattekawaii,C++ (GCC 9.2.1),0,9333 Byte,WA,5 ms,3628 KB
ABC302,2023-05-20 22:39:00,C - Almost Equal,lattekawaii,C++ (GCC 9.2.1),0,2042 Byte,WA,7 ms,3620 KB
ABC302,2023-05-20 22:36:58,B - Find snuke,lattekawaii,C++ (GCC 9.2.1),0,7525 Byte,WA,5 ms,3652 KB
ABC302,2023-05-20 22:24:24,B - Find snuke,lattekawaii,C++ (GCC 9.2.1),0,7525 Byte,WA,11 ms,3616 KB
ABC302,2023-05-20 21:27:31,B - Find snuke,lattekawaii,C++ (GCC 9.2.1),0,7525 Byte,WA,9 ms,3588 KB
ABC302,2023-05-20 21:20:22,B - Find snuke,lattekawaii,C++ (GCC 9.2.1),0,5730 Byte,WA,7 ms,3592 KB
ABC302,2023-05-20 21:01:58,A - Attack,lattekawaii,C++ (GCC 9.2.1),100,408 Byte,AC,4 ms,3580 KB
ABC303,2023-05-28 22:10:21,C - Dash,lattekawaii,C++ (GCC 9.2.1),300,991 Byte,AC,185 ms,12904 KB
ABC303,2023-05-28 22:04:08,C - Dash,lattekawaii,C++ (GCC 9.2.1),0,1080 Byte,TLE,2206 ms,12772 KB
ABC303,2023-05-27 22:39:50,C - Dash,lattekawaii,C++ (GCC 9.2.1),0,1214 Byte,WA,102 ms,10024 KB
ABC303,2023-05-27 22:26:42,C - Dash,lattekawaii,C++ (GCC 9.2.1),0,1474 Byte,TLE,2206 ms,10092 KB
ABC303,2023-05-27 22:21:51,C - Dash,lattekawaii,C++ (GCC 9.2.1),0,1335 Byte,WA,2206 ms,10212 KB
ABC303,2023-05-27 22:12:51,C - Dash,lattekawaii,C++ (GCC 9.2.1),0,1212 Byte,WA,108 ms,9976 KB
ABC303,2023-05-27 21:23:24,B - Discord,lattekawaii,C++ (GCC 9.2.1),200,789 Byte,AC,8 ms,3616 KB
ABC303,2023-05-27 21:03:48,A - Similar String,lattekawaii,C++ (GCC 9.2.1),100,739 Byte,AC,7 ms,3580 KB
ABC304,2023-06-03 23:13:07,C - Virus,lattekawaii,C++ (GCC 9.2.1),300,1799 Byte,AC,81 ms,36000 KB
ABC304,2023-06-03 22:34:25,C - Virus,lattekawaii,C++ (GCC 9.2.1),0,1575 Byte,TLE,2205 ms,7608 KB
ABC304,2023-06-03 22:16:44,C - Virus,lattekawaii,C++ (GCC 9.2.1),0,1443 Byte,WA,2205 ms,3768 KB
ABC304,2023-06-03 22:13:48,C - Virus,lattekawaii,C++ (GCC 9.2.1),0,1443 Byte,TLE,2205 ms,3640 KB
ABC304,2023-06-03 22:07:24,C - Virus,lattekawaii,C++ (GCC 9.2.1),0,2134 Byte,WA,94 ms,3724 KB
ABC304,2023-06-03 21:15:53,B - Subscribers,lattekawaii,C++ (GCC 9.2.1),200,484 Byte,AC,8 ms,3724 KB
ABC304,2023-06-03 21:08:03,A - First Player,lattekawaii,C++ (GCC 9.2.1),100,737 Byte,AC,7 ms,3544 KB
